コード	前	後
JP-PDSCA-DEL-L-25	ジエチル―二・五―ジクロルフエニルメルカプトメチルジチオホスフエイト	ジエチル－２，５－ジクロルフエニルメルカプトメチルジチオホスフエイト
JP-PDSCA-DEL-L-30	二・三―ジ―（ジエチルジチオホスホロ）―パラジオキサン	２，３－ジ－（ジエチルジチオホスホロ）－パラジオキサン
JP-PDSCA-DEL-L-31	二・四―ジニトロ―六―シクロヘキシルフエノール	２，４－ジニトロ－６－シクロヘキシルフエノール
JP-PDSCA-DEL-L-32	二・四―ジニトロ―六―（一―メチルプロピル）―フエニルアセテート	２，４－ジニトロ－６－（１－メチルプロピル）－フエニルアセテート
JP-PDSCA-DEL-L-33	二・四―ジニトロ―六―メチルプロピルフエノールジメチルアクリレート	２，４－ジニトロ－６－メチルプロピルフエノールジメチルアクリレート
JP-PDSCA-DEL-L-34	二・二′―ジピリジリウム―一・一′―エチレンジブロミド	２，２’－ジピリジリウム－１，１’－エチレンジブロミド
JP-PDSCA-DEL-L-35	一・二―ジブロムエタン（別名ＥＤＢ）	１，２－ジブロムエタン（別名ＥＤＢ）
JP-PDSCA-DEL-L-37	三・五―ジブロム―四―ヒドロキシ―四′―ニトロアゾベンゼン	３，５－ジブロム－４－ヒドロキシ－４’－ニトロアゾベンゼン
JP-PDSCA-DEL-L-40	ジメチル―二・二―ジクロルビニルホスフエイト（別名ＤＤＶＰ）	ジメチル－２，２－ジクロルビニルホスフエイト（別名ＤＤＶＰ）
JP-PDSCA-DEL-L-45	ジメチル―（Ｎ―メチルカルバミルメチル）―ジチオホスフエイト（別名ジメトエート）	ジメチル－（Ｎ－メチルカルバミルメチル）－ジチオホスフエイト（別名ジメトエート）
JP-PDSCA-DEL-L-46	ジメチル―四―メチルメルカプト―三―メチルフエニルチオホスフエイト	ジメチル－４－メチルメルカプト－３－メチルフエニルチオホスフエイト
JP-PDSCA-DEL-L-57	トリエタノールアンモニウム―二・四―ジニトロ―六―（一―メチルプロピル）―フエノラート	トリエタノールアンモニウム－２，４－ジニトロ－６－（１－メチルプロピル）－フエノラート
JP-PDSCA-DEL-L-60	トリチオシクロヘプタジエン―三・四・六・七―テトラニトリル	トリチオシクロヘプタジエン－３，４，６，７－テトラニトリル
JP-PDSCA-DEL-L-76	一・二・三・四・五・六―ヘキサクロルシクロヘキサン（別名リンデン）	１，２，３，４，５，６－ヘキサクロルシクロヘキサン（別名リンデン）
JP-PDSCA-DEL-L-79	一・四・五・六・七―ペンタクロル―三ａ・四・七・七ａ―テトラヒドロ―四・七―（八・八―ジクロルメタノ）―インデン（別名ヘプタクロール）	１，４，５，６，７－ペンタクロル－３ａ，４，７，７ａ－テトラヒドロ－４，７－（８，８－ジクロルメタノ）－インデン（別名ヘプタクロール）
JP-PDSCA-DEL-L-85	Ｎ―メチル―一―ナフチルカルバメート	Ｎ－メチル－１－ナフチルカルバメート
JP-PDSCA-SPT-L-5	ジメチル―（ジエチルアミド―一―クロルクロトニル）―ホスフエイト	ジメチル－（ジエチルアミド－１－クロルクロトニル）－ホスフエイト
JP-PDSCA-TOX-O-1-5	三―アミノ―一―プロペン及びこれを含有する製剤	３－アミノ－１－プロペン及びこれを含有する製剤
JP-PDSCA-TOX-O-1-7	アルカノールアンモニウム―二・四―ジニトロ―六―（一―メチルプロピル）―フエノラート及びこれを含有する製剤	アルカノールアンモニウム－２，４－ジニトロ－６－（１－メチルプロピル）－フエノラート及びこれを含有する製剤
JP-PDSCA-TOX-O-1-8	五―イソシアナト―一―（イソシアナトメチル）―一・三・三―トリメチルシクロヘキサン及びこれを含有する製剤	５－イソシアナト－１－（イソシアナトメチル）－１，３，３－トリメチルシクロヘキサン及びこれを含有する製剤
JP-PDSCA-TOX-O-1-9	Ｏ―エチル―Ｏ―（二―イソプロポキシカルボニルフエニル）―Ｎ―イソプロピルチオホスホルアミド（別名イソフエンホス）及びこれを含有する製剤	Ｏ－エチル－Ｏ－（２－イソプロポキシカルボニルフエニル）－Ｎ－イソプロピルチオホスホルアミド（別名イソフエンホス）及びこれを含有する製剤
JP-PDSCA-TOX-O-1-10	Ｏ―エチル＝Ｓ・Ｓ―ジプロピル＝ホスホロジチオアート（別名エトプロホス）及びこれを含有する製剤	Ｏ－エチル＝Ｓ，Ｓ－ジプロピル＝ホスホロジチオアート（別名エトプロホス）及びこれを含有する製剤
JP-PDSCA-TOX-O-2-2	Ｎ―エチル―メチル―（二―クロル―四―メチルメルカプトフエニル）―チオホスホルアミド及びこれを含有する製剤	Ｎ－エチル－メチル－（２－クロル－４－メチルメルカプトフエニル）－チオホスホルアミド及びこれを含有する製剤
JP-PDSCA-TOX-O-6-5	一―クロロ―二・四―ジニトロベンゼン及びこれを含有する製剤	１－クロロ－２，４－ジニトロベンゼン及びこれを含有する製剤
JP-PDSCA-TOX-O-6-7	二―クロロピリジン及びこれを含有する製剤	２－クロロピリジン及びこれを含有する製剤
JP-PDSCA-TOX-O-6-8	三―クロロ―一・二―プロパンジオール及びこれを含有する製剤	３－クロロ－１，２－プロパンジオール及びこれを含有する製剤
JP-PDSCA-TOX-O-9	ジエチル―Ｓ―（エチルチオエチル）―ジチオホスフエイト及びこれを含有する製剤	ジエチル－Ｓ－（エチルチオエチル）－ジチオホスフエイト及びこれを含有する製剤
JP-PDSCA-TOX-O-9-2	ジエチル―Ｓ―（二―クロル―一―フタルイミドエチル）―ジチオホスフエイト及びこれを含有する製剤	ジエチル－Ｓ－（２－クロル－１－フタルイミドエチル）－ジチオホスフエイト及びこれを含有する製剤
JP-PDSCA-TOX-O-9-3	ジエチル―（一・三―ジチオシクロペンチリデン）―チオホスホルアミド及びこれを含有する製剤	ジエチル－（１，３－ジチオシクロペンチリデン）－チオホスホルアミド及びこれを含有する製剤
JP-PDSCA-TOX-O-10-2	ジエチル―四―メチルスルフイニルフエニル―チオホスフエイト及びこれを含有する製剤	ジエチル－４－メチルスルフイニルフエニル－チオホスフエイト及びこれを含有する製剤
JP-PDSCA-TOX-O-10-3	一・三―ジクロロプロパン―二―オール及びこれを含有する製剤	１，３－ジクロロプロパン－２－オール及びこれを含有する製剤
JP-PDSCA-TOX-O-10-5	二・三―ジシアノ―一・四―ジチアアントラキノン（別名ジチアノン）及びこれを含有する製剤	２，３－ジシアノ－１，４－ジチアアントラキノン（別名ジチアノン）及びこれを含有する製剤
JP-PDSCA-TOX-O-13	二・四―ジニトロ―六―（一―メチルプロピル）―フエノールを含有する製剤	２，４－ジニトロ－６－（１－メチルプロピル）－フエノールを含有する製剤
JP-PDSCA-TOX-O-13-2	二―ジフエニルアセチル―一・三―インダンジオン及びこれを含有する製剤	２－ジフエニルアセチル－１，３－インダンジオン及びこれを含有する製剤
JP-PDSCA-TOX-O-13-6	ジメチル―（イソプロピルチオエチル）―ジチオホスフエイト及びこれを含有する製剤	ジメチル－（イソプロピルチオエチル）－ジチオホスフエイト及びこれを含有する製剤
JP-PDSCA-TOX-O-15	ジメチル―（ジエチルアミド―一―クロルクロトニル）―ホスフエイトを含有する製剤	ジメチル－（ジエチルアミド－１－クロルクロトニル）－ホスフエイトを含有する製剤
JP-PDSCA-TOX-O-15-2	一・一′―ジメチル―四・四′―ジピリジニウムヒドロキシド、その塩類及びこれらのいずれかを含有する製剤	１，１’－ジメチル－４，４’－ジピリジニウムヒドロキシド、その塩類及びこれらのいずれかを含有する製剤
JP-PDSCA-TOX-O-16-2	一・一―ジメチルヒドラジン及びこれを含有する製剤	１，１－ジメチルヒドラジン及びこれを含有する製剤
JP-PDSCA-TOX-O-16-3	二・二―ジメチルプロパノイルクロライド（別名トリメチルアセチルクロライド）及びこれを含有する製剤	２，２－ジメチルプロパノイルクロライド（別名トリメチルアセチルクロライド）及びこれを含有する製剤
JP-PDSCA-TOX-O-16-4	二・二―ジメチル―一・三―ベンゾジオキソール―四―イル―Ｎ―メチルカルバマート（別名ベンダイオカルブ）及びこれを含有する製剤	２，２－ジメチル－１，３－ベンゾジオキソール－４－イル－Ｎ－メチルカルバマート（別名ベンダイオカルブ）及びこれを含有する製剤
JP-PDSCA-TOX-O-19-2	二・三・五・六―テトラフルオロ―四―メチルベンジル＝（Ｚ）―（一ＲＳ・三ＲＳ）―三―（二―クロロ―三・三・三―トリフルオロ―一―プロペニル）―二・二―ジメチルシクロプロパンカルボキシラート（別名テフルトリン）及びこれを含有する製剤	２，３，５，６－テトラフルオロ－４－メチルベンジル＝（Ｚ）－（１ＲＳ，３ＲＳ）－３－（２－クロロ－３，３，３－トリフルオロ－１－プロペニル）－２，２－ジメチルシクロプロパンカルボキシラート（別名テフルトリン）及びこれを含有する製剤
JP-PDSCA-TOX-O-19-4	一―ドデシルグアニジニウム＝アセタート（別名ドジン）及びこれを含有する製剤	１－ドデシルグアニジニウム＝アセタート（別名ドジン）及びこれを含有する製剤
JP-PDSCA-TOX-O-22-2	ビス（四―イソシアナトシクロヘキシル）メタン及びこれを含有する製剤	ビス（４－イソシアナトシクロヘキシル）メタン及びこれを含有する製剤
