100-20-9	テレフタル酸クロライド	1,4-Benzenedicarbonyl dichloride
52279-49-9	エチレンジアミン四酢酸マンガン(2+)	Manganate(2-), [[N,N'-1,2-ethanediylbis[N-(carboxymethyl)glycinato]](4-)-N,N',O,O',ON,ON']-, (OC-6-21)-
52296-79-4		Barium metaborate
52306-33-9		Folpet
52308-79-9		Bis(ethylcyclopentadienyl)cobalt(III)hexafluorophosphate
52315-07-8	シペルメトリン	Cypermethrin
52329-27-8		Titanium, dichlorobis(dimethyl orthoborato-O')-, (T-4)-
52337-73-2	o-メチル安息香酸鉛(2+)	Benzoic acid, 2-methyl-, lead(2+) salt
52337-77-6	o-メチル安息香酸バリウム	Benzoic acid, 2-methyl-, barium salt
52337-78-7	o-メチル安息香酸カドミウム	Benzoic acid, 2-methyl-, cadmium salt
52340-19-9		Strychnidin-10-one, mono[(R)-(2-dibenzofuranylsulfinyl) acetate]
52340-46-2		3-Chloro-1,2-Propanediol
52350-11-5		Monoaluminum phosphate
52365-33-0		Bisphenol A epichlorohydrin polymer
52399-93-6		1,2-Dichloroethane
524-95-8	２-アミノエチル＝ジフェニルボリナート	(2-Aminoethoxy)(diphenyl)borane
524067-97-8		Iodonium, bis[4-(1,1-dimethylethyl)phenyl]-, salt with 1,1,2,2,3,3,4,4,4-nonafluoro-N-[(nonafluorobutyl)sulfonyl]-1- butanesulfonamide
52418-31-2	ペンタデカクロロフタロシアニン銅(2+)	Copper, [pentadecachloro-29H,31H-phthalocyaninato(2-)-N29,N30,N31,N32]-
52427-13-1	ノニルフェノール	4-(1-Ethyl-1-methylhexyl)phenol
52433-96-2		Dioctyltinbis(2-ethylhexyl mercaptoacetate)
52434-07-8		Polyethylene glycol nonylphenyl ether
52434-42-1		1,3,2-Dioxastannepin-4,7-dione, 2,2-dioctyl-
52440-03-6		Polyethylene glycol nonylphenyl ether
52440-21-8		p-Nonylphenol polyethylene glycol ether
52440-22-9		p-Nonylphenol polyethylene glycol ether
52440-39-8		Chromium lead oxide
52440-78-5		Polyethylene glycol nonylphenyl ether
52440-94-5		Polyethylene glycol nonylphenyl ether
52454-54-3	ジチオリン酸Ｏ，Ｏ'-ビス（２-エチルヘキシル）銅	Copper O,O'-di (2-ethylhexyl) dithio-phosphate
52455-30-8		Chromate(1-), triaqua[3-hydroxy-4-[(2-hydroxy-1-naphthalenyl)azo]-7-nitro-1-naphthalenesulfonato(3-)]-, sodium
52486-98-3		Bis[(2-hydroxyethyl)dithiocarbamato-S,S']nickel
52486-99-4		Bis[bis(2-hydroxyethyl)dithiocarbamato-S,S']nickel
52487-10-2		Zinc, bis[2-(hydroxy-.kappa.O)-3-hydroxypropanoato-.kappa.O]-, (T-4)-
52488-90-1		Silicic acid, aluminum zinc salt
52489-20-0	バナジン酸ランタン	Lanthanum vanadate
52496-91-0	ニッケル（ＩＩ）＝ジメタクリラート	Nickel(2+) methacrylate
525-30-4	｛３-［２-（カルボキシメトキシ）ベンズアミド］-２-ヒドロキシプロピル｝（ヒドロキシド）水銀	Mercuderamide
52502-12-2	メタバナジン酸ニッケル(2+)	Nickel vanadium oxide (NiV2O6)
52503-06-7		Ammonium antimony fluoride
52503-64-7		Acetic acid, copper(2+) salt, basic
52504-18-4		Polyethylene glycol nonylphenyl ether
52504-19-5		Polyethylene glycol nonylphenyl ether
52513-84-5	ナトリウム＝３-［２-（２-｛［５，６-ジメチル-３-（３-スルホナトプロピル）-１，３-ベンゾセレナゾール-３-イウム-２-イル］メチリデン｝ブチリデン）-５，６-ジメチル-１，３-ベンゾセレナゾール-３（２Ｈ）-イル］プロパン-１-スルホナート	Hydrogen 2-[2-[[5,6-dimethyl-3-(3-sulphonatopropyl)-3H-benzoselenazol-2-ylidene]methyl]but-1-enyl]-5,6-dimethyl-3-(3-sulphonatopropyl)benzoselenazolium, sodium salt
52519-66-1		Bisphenol A epichlorohydrin polymer
52519-67-2		Bisphenol A epichlorohydrin polymer
52539-51-2		L-Ascorbic acid, mixture with 3-[(4-amino-2-methyl-5-pyrimidinyl)methyl]-5-(2-hydroxyethyl)-4-methylthiazolium chloride monohydrochloride and strychnidin-10-one mononitrate
52543-24-5	4-(p-メトキシベンゾイルアミノ)-2,5-ジエトキシベンゼンジアゾニウム=テトラクロロジンケート	Benzenediazonium, 2,5-diethoxy-4-[(4-methoxybenzoyl)amino]-, (T-4)-tetrachlorozincate(2-) (2:1)
52555-87-0		Tungsten carbide (WC)
525584-40-1		Strychnine
52562-37-5	マンガン（ＩＩ）＝ビス（テトラデシル＝スルファート）	1-Tetradecanol, hydrogen sulfate, manganese(2+) salt
52572-38-0	3-メチル-4-ピロリジノベンゼンジアゾニウム=トリクロロジンケート	Benzenediazonium, 3-methyl-4-(1-pyrrolidinyl)-, trichlorozincate(1-)
52585-16-7		Zinc, bis[O,O-bis(1-methylethyl) phosphorodithioato-S]bis(cyclohexanamine)-, (T-4)-
52587-68-5		Chromate(2-), [3-[(4,5-dihydro-3-methyl-5-oxo-1-phenyl-1H-pyrazol-4-yl)azo]-4-hydroxybenzenesulfonato(3-)][1-[[2-hydroxy-5-(phenylazo)phenyl]azo]-2-naphthalenolato(2-)]-, disodium
52590-79-1		Benzenediazonium, 2,5-bis(2-methylpropoxy)-4-(4-morpholinyl)-, trichlorozincate(1-)
52593-56-3		Benzenediazonium, 2,5-dimethoxy-4-(4-morpholinyl)-, (T-4)-tetrachlorozincate(2-) (2:1)
526-50-1	スチボフェン	Pentasodium [4,5-dihydroxybenzene-1,3-disulphonato(2-)-O4,O5][4,5-dihydroxybenzene-1,3-disulphonato(1-)-O4]antimony
526-75-0	キシレノール	Phenol, 2,3-dimethyl-
52609-46-8	２-メチルプロペン酸，鉛	Lead methacrylate
5261-20-1		Zinc diheptanoate
52610-81-8	ビス(ジエチルジチオカルバミド酸)ニッケル(2+)	Bis(diethyldithiocarbamato-S,S')nickel
52622-54-5		Lauryldimethylamine
52623-84-4		Chloric acid, sodium salt, mixture with boric acid (HBO2) sodium salt
52623-88-8		Manganese, [[1,2-ethanediylbis[carbamodithioato]](2-)]-, mixture with dimethyl [1,2-phenylenebis(iminocarbonothioyl)]bis[carbamate]
52625-25-9	ニッケル（ＩＩ）＝ビス（３，５-ジ-ｔｅｒｔ-ブチル-４-ヒドロキシベンゾアート）	Benzoic acid, 3,5-bis(1,1-dimethylethyl)-4-hydroxy-, nickel(2+) salt (2:1)
52627-52-8		Trifluralin
52627-94-8		Bisphenol A epichlorohydrin polymer
52628-05-4		Polyethylene glycol mono (1,1,3,3-tetramethylbutyl) phenyl ether
52628-25-8		Zinc ammonium chloride
52628-34-9	２，２'-［（１，１，３，３-テトラブチル-１，３-ジスタンナチアンジイル）ビス（チオ）］ジ酢酸ジイソオクチル	Acetic acid, 2,2'-[(1,1,3,3-tetrabutyl-1,3-distannathianediyl)bis(thio)]bis-, diisooctyl ester
5263-02-5	塩基性炭酸亜鉛	Di[carbonato(2-)]hexahydroxypentazinc
52638-43-4		Stannate (Sn(OH)62-), disodium, (OC-6-11)-
52638-78-5		5-Chloro-4-(cyclohexylmethylamino)-2-(trifluoromethyl)benzenediazonium tetrachlorozincate (2:1)
52645-53-1	ペルメトリン	Permethrin
52652-59-2	ビス（オクタデカノアト）（ジオキソ）二鉛	Lead stearate dibasic
52653-36-8		9-Octadecenoic acid, 12-hydroxy-, zinc salt (2:1), (9Z,12R)-
52663-58-8	2,3,4',6-テトラクロロビフェニル	2,3,4',6-Tetrachlorobiphenyl
52663-59-9	2,2',3,4-テトラクロロビフェニル	2,2',3,4-Tetrachlorobiphenyl
52663-60-2	2,2',3,3',6-ペンタクロロビフェニル	2,2',3,3',6-Pentachlorobiphenyl
52663-61-3	2,2',3,5,5'-ペンタクロロビフェニル	2,2',3,5,5'-Pentachlorobiphenyl
52663-62-4	2,2',3,3',4-ペンタクロロビフェニル	2,2',3,3',4-Pentachlorobiphenyl
52663-63-5	2,2',3,5,5',6-ヘキサクロロビフェニル	2,2',3,5,5',6-Hexachlorobiphenyl
52663-64-6	2,2',3,3',5,6,6'-ヘプタクロロビフェニル	2,2',3,3',5,6,6'-Heptachlorobiphenyl
52663-65-7	2,2',3,3',4,6,6'-ヘプタクロロビフェニル	2,2',3,3',4,6,6'-Heptachlorobiphenyl
52663-66-8	2,2',3,3',4,5'-ヘキサクロロビフェニル	2,2',3,3',4,5'-Hexachlorobiphenyl
52663-67-9	2,2',3,3',5,5',6-ヘプタクロロビフェニル	2,2',3,3',5,5',6-Heptachlorobiphenyl
52663-68-0	2,2',3,4',5,5',6-ヘプタクロロビフェニル	2,2',3,4',5,5',6-Heptachlorobiphenyl
52663-69-1	2,2',3,4,4',5',6-ヘプタクロロビフェニル	2,2',3,4,4',5',6-Heptachlorobiphenyl
52663-70-4	2,2',3,3',4,5',6'-ヘプタクロロビフェニル	2,2',3,3',4,5',6'-Heptachlorobiphenyl
52663-71-5	2,2',3,3',4,4',6-ヘプタクロロビフェニル	2,2',3,3',4,4',6-Heptachlorobiphenyl
52663-72-6	2,3',4,4',5,5'-ヘキサクロロビフェニル	2,4,5,3',4',5'-Hexachlorobiphenyl
52663-73-7	2,2',3,3',4,5,6,6'-オクタクロロビフェニル	2,2',3,3',4,5,6,6'-Octachlorobiphenyl
52663-74-8	2,2',3,3',4,5,5'-ヘプタクロロビフェニル	2,2',3,3',4,5,5'-Heptachlorobiphenyl
52663-75-9	2,2',3,3',4,5,5',6'-オクタクロロビフェニル	2,2',3,3',4,5,5',6'-Octachlorobiphenyl
52663-76-0	2,2',3,4,4',5,5',6-オクタクロロビフェニル	2,2',3,4,4',5,5',6-Octachlorobiphenyl
52663-77-1	2,2',3,3',4,5,5',6,6'-ノナクロロビフェニル	2,2',3,3',4,5,5',6,6'-Nonachlorobiphenyl
52663-78-2	2,2',3,3',4,4',5,6-オクタクロロビフェニル	2,2',3,3',4,4',5,6-Octachlorobiphenyl
52663-79-3	2,2',3,3',4,4',5,6,6'-ノナクロロビフェニル	2,2',3,3',4,4',5,6,6'-Nonachlorobiphenyl
52667-15-9	メタンジスルホン酸アルミニウム	Tris[.mu.-[methanedisulphonato(2-)]]dialuminium
52669-69-9		2-Chloro-4-(butylthio)-5-methoxybenzenediazonium tetrachlorozincate (2:1)
52671-36-0	トリス｛［（Ｚ）-３-（エトキシカルボニル）アクリロイル］オキシ｝（オクチル）スタンナン	Ethyl (Z,Z,Z)-9-[(4-ethoxy-1,4-dioxobut-2-enyl)oxy]-9-octyl-4,7,11-trioxo-3,8,10-trioxa-9-stannatetradeca-5,12-dien-14-oate
52671-45-1		1,3,5-Triazine-2,4,6(1H,3H,5H)-trione, 1,3-dichloro-, sodium salt, monohydrate
52677-44-8	アシッド レッド-１８６	Chromate(1-), [4-[[4,5-dihydro-3-methyl-5-oxo-1-(3-sulfophenyl)-1H-pyrazol-4-yl]azo]-3-hydroxy-1-naphthalenesulfonato(4-)]-, sodium
52677-57-3		Hydrogen bis[1-(2-hydroxy-3,5-dinitrophenylazo)-3-(phenylcarbamoyl)-2-naphtholato]chromic(III) acid
52682-64-1	スズ酸バリウム	Barium stannate
52683-07-5		Polyethylene glycol nonylphenyl ether
52683-46-2		Phenol, 2,6-bis(1,1-dimethylethyl)-4-methyl-
52683-56-4		Benomyl
52685-95-7	３-（２-｛２-メチル-３-［３-（３-スルホプロピル）-１，３-ベンゾセレナゾール-２（３Ｈ）-イリデン］プロパ-１-エン-１-イル｝-１，３-ベンゾセレナゾール-３-イウム-３-イル）プロパン-１-スルホナート	Hydrogen 2-[2-methyl-3-[3-(3-sulphonatopropyl)-3H-benzoselenazol-2-ylidene]prop-1-enyl]-3-(3-sulphonatopropyl)benzoselenazolium
52691-95-9	ビス(ジブチルジチオカルバミド酸)銅(2+)	Bis(dibutyldithiocarbamato-S,S')copper
52697-21-9		Ammonium bifluoride
52697-24-2		Cyclohexanemethanamine, 5-amino-1,3,3-trimethyl-
527-09-3	グルコン酸銅	Cupric gluconate
5270-30-4	6-セレノプリン	1,7-Dihydro-6H-purine-6-selone
52704-70-8	2,2',3,3',5,6-ヘキサクロロビフェニル	2,2',3,3',5,6-Hexachlorobiphenyl
5271-60-3	２，２，７，７-テトラブチル-１，３，６，８，２，７-テトロキサジスタンネカン	2,2,7,7-Tetrabutyl-1,3,6,8,2,7-tetroxadistannecane
52712-04-6	2,2',3,4,5,5'-ヘキサクロロビフェニル	2,2',3,4,5,5'-Hexachlorobiphenyl
52712-05-7	2,2',3,4,5,5',6-ヘプタクロロビフェニル	2,2',3,4,5,5',6-Heptachlorobiphenyl
52714-88-2		Strychnidin-10-one, monohydrobromide
52714-96-2		Strychnidin-10-one, compound with 2,4,6-trinitrophenol
52722-81-3	ジブチルビス(o-フェニルフェノキシ)スズ	Stannane, bis([1,1'-biphenyl]-2-yloxy)dibutyl-
52723-61-2		Zinc fumarate (1:1)
52724-30-8	ビス(メルカプト酢酸)亜鉛	Zinc thioglycolate
52725-28-7		Zinc 2,4,6-trichlorophenate
52725-43-6		Aluminum dysprosium oxide (Al2Dy4O9)
52729-29-0		Aluminium triglycinate
52729-67-6	２９Ｈ，３１Ｈ-フタロシアニン-Ｃ-スルホン酸コバルト錯塩	Cobaltate(1-), [29H,31H-phthalocyanine-C-sulfonato(3-)-N29,N30,N31,N32]-, sodium
52732-72-6	塩基性硫酸鉛	Sulfuric acid, lead salt, tetrabasic
52736-17-1		Aluminium tris(sulphanilate)
52737-71-0		Azodicarbonamide
52737-96-9		Benzenesulfonic acid, 4,4'-oxybis-, dihydrazide
52740-16-6		Calcium arsenite
52744-13-5	2,2',3,3',5,6'-ヘキサクロロビフェニル	2,2',3,3',5,6'-Hexachlorobiphenyl
52748-69-3		Styrchnidin-10-one, monohydriodide
52769-39-8		1H-1,2,4-Triazolium, dimethyl-3-[[4-[methyl(phenylmethyl)amino]phenyl]azo]-, trichlorozincate(1-)
52788-96-2	塩化バリウム六水和物	Barium chloride hexahydrate
52795-88-7	アフリドール	(2-Carboxy-m-tolyl)hydroxymercury, monosodium salt
5280-66-0	ピグメントレッド48:4	C.I. Pigment Red 48:4
5280-69-3		Benzenesulfonic acid, 3-nitro-4-[[2-oxo-1-[(phenylamino)carbonyl]propyl]azo]-, barium salt (2:1)
52810-40-9		Cobalt, dibromotris(trimethylphosphine)-, (TB-5-22)-
5284-22-0		Phenol, 2-heptyl-
52847-85-5	イソノナン酸鉛(2+)	Lead bis(isononanoate)
52856-54-9		Copper dihydroxybenzoate
52863-01-1		Vanadium alloy, base, V, Al
52869-79-1		Silicic acid, chromium lead salt
52869-91-7		Barium aluminum titanate
52869-93-9		Barium calcium titanate
52869-94-0		Barium titanium oxide (BaTiO3)
52907-24-1		Isofenphos
52907-38-7		Bisphenol A epichlorohydrin polymer
52918-63-5	デルタメトリン	Deltamethrin
52931-96-1		Aluminum chlorohydroxy allantoinate
52933-45-6	テトラコサホウ化銅	Copper boride (CuB24)
52933-74-1		Antimony, compound with tin (2:3)
52933-75-2		Antimony, compound with tin (3:2)
52934-13-1	リンバナジン酸イットリウム	Yttrium phosphovanadate
52934-88-0	モリブデン酸バリウム	Barium molybdate
52953-36-3		Cuprate(4-), [4-hydroxy-7-[[4-[(2-hydroxyethyl)amino]-6-[[5-hydroxy-6-[(2-hydroxy-5-sulfophenyl)azo]-7-sulfo-2-naphthalenyl]amino]-1,3,5-triazin-2-yl]amino]-3-[(4-methoxy-2-sulfophenyl)azo]-2-naphthalenesulfonato(6-)]-, tetrasodium
52953-39-6		Dihydrogen [2,4-dihydro-4-[(2-hydroxy-5-nitrophenyl)azo]-5-methyl-2-phenyl-3H-pyrazol-3-onato(2-)][3-hydroxy-4-[(2-hydroxy-1-naphthyl)azo]-7-nitronaphthalene-1-sulphonato(3-)]chromate(2-)
52953-41-0		Chromate(2-), [4-[4-[(5-chloro-2-hydroxyphenyl)azo]-4,5-dihydro-3-methyl-4-oxo-1H-pyrazol-1-yl]benzenesulfonato(3-)][4-[(3,5-dichloro-2-hydroxyphenyl)azo]-2,4-dihydro-5-methyl-1-phenyl-3H-pyrazol-3-onato(2-)]-, dihydrogen
52953-42-1		Dihydrogen [1-[(5-chloro-2-hydroxyphenyl)azo]-2-naphtholato(2-)][3-hydroxy-4-[(2-hydroxy-1-naphthyl)azo]naphthalene-1-sulphonato(3-)]chromate(2-)
52956-82-8		3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,11,11,12,12,13,14,14,14-Tetracosafluoro-13-(trifluoromethyl)tetradecyl acrylate
52966-95-7		Manganese alloy, base, Mn 74-82,Fe 8-19,C 6.9-7.5,Si 0-1.2,P 0-0.4 (ASTM A99)
52985-93-0		Isophorone diisocyanate
53-70-3	ジベンゾ[a,h]アントラセン	Dibenz[a,h]anthracene
53003-10-4	サリノマイシン	Salinomycin
53007-72-0		Mercury alloy, base, Hg,Ca
53010-52-9		Mercury(2+), bis(2,4,6-tri-2-pyridinyl-1,3,5-triazine-N1,N2,N6)-, (OC-6-1'2)-
53011-66-8		Aluminum isopropoxide, cyclic trimer
53021-66-2		Strychnidin-10-one, mono[bis(N,N-dimethylbenzeneamine)tetrakis(thiocyanato-N)chromate(1-)]
53023-95-3		Cetyl trimethyl ammonium chloride
53026-80-5		Paraformaldehyde
53027-88-6		Bisphenol A epichlorohydrin polymer
53028-50-5		Antimony molybdenum tungsten oxide
53028-77-6		C.I. Pigment Blue 15
53028-82-3		Octhilinone
53036-44-5		Dihydrogen [3-[(4,5-dihydro-3-methyl-5-oxo-1-phenyl-1H-pyrazol-4-yl)azo]-4-hydroxy-5-nitrobenzenesulphonato(3-)][2-[(2-hydroxy-5-methoxyphenyl)azo]-4,6-dinitrophenolato(2-)]chromate(2-)
53036-47-8		Chromate(3-), bis[3-hydroxy-4-[(2-hydroxy-1-naphthalenyl)azo]-7-nitro-1-naphthalenesulfonato(3-)]-, trihydrogen
53040-42-9	トリイソオクチル＝３，３'，３''-［（メチルスタンニリジン）トリス（チオ）］トリスプロピオナート	Propanoic acid, 3,3',3''-[(methylstannylidyne)tris(thio)]tris-, triisooctyl ester
53044-06-7		Copper monoethanolamine
5308-25-8	1-エチルピペラジン	1-Ethylpiperazine
5308-71-4		Phenol, 2,4-dinitro-, compound with (S)-3-(1-methyl-2-pyrrolidinyl)pyridine
53091-46-6	４，４'-メチレンジベンゼンジアゾニウム＝ビス（テトラフルオロボラヌイド）	4,4'-Methylenebisbenzenediazonium bis(tetrafluoroborate)
53092-86-7		Carbonic acid, calcium lead palladium salt
53095-31-1		Naled
53096-04-1	フッ化鉛	Lead fluoride
531-72-6		Thiacetarsamide
531-76-0		Merphalan
531-85-1	[1.1'-ビフェニル]-4,4'-ジアミン二塩酸塩	Benzidine dihydrochloride
531-86-2	[1,1'-ビフェニル]-4,4'-ジアミン硫酸塩	Benzidine sulfate (1:1)
53100-69-9	トリス(マレイン酸イソオクチル)ブチルスズ	Triisooctyl 4,4',4''-[(butylstannylidyne)tris(oxy)]tris[4-oxoisocrotonate]
53108-47-7		Cuprate(1-), [N,N-bis(carboxymethyl)glycinato(3-)-N,O,O',O'']-, sodium, (T-4)-
53108-49-9	ニトリロ三酢酸コバルト酸ナトリウム	Cobaltate(1-), [N,N-bis(carboxymethyl)glycinato(3-)-N,O,O',O'']-, sodium, (T-4)-
53108-50-2	（Ｎ，Ｎ-ビス（メチルカルボキシ）グリシン酸（３-）-Ｎ，Ｏ，Ｏ，Ｏ''）コバルト酸（１-）水素	Cobaltate(1-), [N,N-bis(carboxymethyl)glycinato(3-)-N,O,O',O'']-, hydrogen, (T-4)-
53113-57-8		Zinc nitrilotriacetate
53120-23-3	リン化アンチモン	Antimony phosphide (121SbP)
53124-95-1		Polypropylene glycol bis(aminopropyl) ether
53125-17-0		Polyethylene glycol nonylphenyl ether
53127-14-3		Bisphenol A epichlorohydrin polymer
5314-83-0	クロロジエチルボラン	Borane, chlorodiethyl-
53149-77-2	［テトラキス（１-メチル-４-ピリジニオ）ポルフィナト］コバルト（ｉｉ）（５＋）過塩素酸塩	Tetrakis(4-N-methylpyridinio)porphinecobalt(II)(5+) perchlorate
5315-79-7	ピレン-１-オール	1-Pyrenol
53156-93-7		Copper fluoride oxide
53168-83-5		Cadmium bromide
53168-85-7		Cadmium iodide
53169-23-6		Cerium tin oxide (CeSnO4)
53169-53-2		Aluminum, compound with strontium (4:1)
5317-66-8	エチル ジクロロフェニルアセタート	Ethyl dichlorophenylacetate
53185-66-3		Vanadium chloride (Vcl4), (T-4)-
53187-11-4		Barium ethyl acetoacetate
53192-27-1		Hexamethylene-1,6-diisocyanate
53199-37-4		Aluminum, chloro[C-chloro-29H,31H-phthalocyaninato(2-)-N29,N30,N31,N32]-
53199-85-2		Nickel(1+), [1-(2-amino-4-imino-5(4H)-thiazolylidene)-N-[1-(2-amino-4-imino-5(4H)-thiazolylidene)-1H-isoindol-3-yl]-1H-isoindol-3-aminato]-, chloride
532-31-0	安息香酸銀	Benzoic acid, silver(1+) salt
53200-30-9		Bisphenol A epichlorohydrin polymer
53202-61-2	ビス(3-メルカプトプロパン酸=2-エチルヘキシル)ジブチルスズ	10-Oxa-4,6-dithia-5-stannahexadecanoic acid, 5,5-dibutyl-12-ethyl-9-oxo-, 2-ethylhexyl ester
53208-23-4		1,3-Bis(isocyanatomethyl)benzene
53224-08-1		Cuprate(2-), tetrachloro-, (T-4)-, dihydrogen, compound with (S)-3-(1-methyl-2-pyrrolidinyl)pyridine (1:1)
53231-49-5		Cupric ammonium carbonate
53236-83-2	ブチル（トリス｛［３-（イソオクチルスルファニル）プロパノイル］オキシ｝）スタンナン	Butyltris[3-(isooctylthio)-1-oxopropoxy]stannane
53238-86-1		Bisphenol A epichlorohydrin polymer
53238-87-2		Bisphenol A epichlorohydrin polymer
53239-04-6		Boron carbide (B4C)
53239-67-1		Bisphenol A epichlorohydrin polymer
53239-68-2		Bisphenol A epichlorohydrin polymer
53240-95-2		4,6-Dinitro-o-cresol
5326-00-1		Mercury, bromo[1-(methoxyphenylmethyl)-2-oxo-2-[(1,7,7-trimethylbicyclo[2.2.1]hept-2-yl)oxy]ethyl]-
53262-48-9		Antimony, compound with lithium (1:2)
5328-04-1		[1,1'-Biphenyl]-3-carboxylic acid, 2-hydroxy-, copper(2+) salt (2:1)
53282-60-3		4-Dansylaminophenylmercuric acetate
53289-89-7		Cuprate(2-), [bis[[(4-methylpentyl)amino]sulfonyl]-29H,31H-phthalocyaninedisulfonato(4-)-N29,N30,N31,N32]-, dihydrogen, compound with 4-methyl-1-pentanamine (1:2)
53295-04-8	１-フェニル-３-メチル-４-（２-オキシ-４-スルホナフチルアゾ）-５-ピラゾロンのクロム錯塩	Chromate(3-), bis[4-[(4,5-dihydro-3-methyl-5-oxo-1-phenyl-1H-pyrazol-4-yl)azo]-3-hydroxy-1-naphthalenesulfonato(3-)]-, trihydrogen
533-00-6	安息香酸バリウム	Benzoic acid, barium salt
533-01-7		Benzoic acid, copper(2+) salt
533-51-7	シュウ酸銀(1+)	Ethanedioic acid, disilver(1+) salt
53320-75-5		Aluminum sodium silicate
5333-48-2		2-Pentyl-1-nonanol
53350-83-7		1H-Benzimidazolium, 2-[7-(diethylamino)-2-oxo-2H-1-benzopyran-3-yl]-1,3-dimethyl-, trichlorozincate(1-)
5337-36-0	トリス（ヘキシルオキシ）ボラン	Boric acid (H3BO3), trihexyl ester
5337-60-0	トリス（２-クロロフェノキシ）ボラン	Tris(2-chlorophenyl) borate
53370-43-7		Disilver(1+) 3,3'-methylenebisnaphthalene-2-sulphonate
53370-45-9	ｒｅｌ-（１Ｒ，３Ｒ，４Ｓ）-ジヒドロキシ［（ｐ-メンタン-３-イル）オキシ］ボラン	Cyclohexanol, 5-methyl-2-(1-methylethyl)-, monoester with boric acid (H3BO3), (1.alpha.,2.beta.,5.alpha.)-
534-16-7	炭酸銀（Ｉ）	Carbonic acid, disilver(1+) salt
534-33-8		Acetarsone diethylamine salt
534-52-1	DNOC	4,6-Dinitro-o-cresol
5340-31-8	６-メチルウンデカン-６-オール	6-Undecanol, 6-methyl-
5340-52-3	５-プロピルノナン-５-オール	5-Nonanol, 5-propyl-
